sl,reg_no,status
A-01,RC113985,2
A-02,RC118933,5
A-03,RC125292,5
A-04,RC130207,5
A-05,RC135812,5
A-06,RC143160,1
A-07,RC150644,5
A-08,RC160770,5
A-09,RC169770,2
A-10,RC174168,5
A-11,RC179182,2
A-12,RC184229,1
A-13,RC189395,1
A-14,RC194912,5
A-15,RC199473,3
A-16,RC1103764,3
A-17,RC1108692,3
A-18,RC1113678,2
A-19,RC1121478,5
A-20,RC1127990,1
A-21,RC1132683,2
A-22,RC1137240,5
A-23,RC1145998,5
A-24,RC1152983,5
A-25,RC1157319,1
A-26,RC1163954,1
A-27,RC1168722,3
A-28,RC1173757,2
A-29,RC1179982,2
B-01,RC114975,4
B-02,RC119270,5
B-03,RC126638,5
B-04,RC131935,3
B-05,RC139212,4
B-06,RC144304,5
B-07,RC151691,4
B-08,RC161809,3
B-09,RC170688,5
B-10,RC175689,5
B-11,RC180874,3
B-12,RC185620,1
B-13,RC190795,5
B-14,RC195718,3
B-15,RC1100224,1
B-16,RC1104504,1
B-17,RC1109635,5
B-18,RC1114705,5
B-19,RC1122776,5
B-20,RC1128510,5
B-21,RC1133555,1
B-22,RC1138783,4
B-23,RC1149596,5
B-24,RC1153960,4
B-25,RC1158151,5
B-26,RC1164315,4
B-27,RC1169307,4
B-28,RC1175661,1
B-29,RC1182992,1
C-01,RC115974,5
C-02,RC120286,5
C-03,RC127322,2
C-04,RC132285,2
C-05,RC140238,1
C-06,RC145134,1
C-07,RC152561,5
C-08,RC165142,3
C-09,RC171693,2
C-10,RC176688,5
C-11,RC181111,3
C-12,RC186930,1
C-13,RC17606,3
C-14,RC17606,2
C-15,RC1101117,5
C-16,RC1105279,2
C-17,RC1110100,2
C-18,RC1115247,3
C-19,RC1123387,5
C-20,RC1129938,5
C-21,RC1134516,5
C-22,RC1139796,2
C-23,RC162918,2
C-24,RC1154271,1
C-25,RC1159284,3
C-26,RC1165516,2
C-27,RC1170723,3
C-28,RC1176217,5
C-29,RC1160684,5
D-01,RC116225,5
D-02,RC122654,3
D-03,RC128493,3
D-04,RC133714,5
D-05,RC141718,5
D-06,RC146370,1
D-07,RC154485,5
D-08,RC166110,5
D-09,RC172646,1
D-10,RC177514,3
D-11,RC182299,3
D-12,RC187897,5
D-13,RC191701,5
D-14,RC197763,5
D-15,RC1102569,1
D-16,RC1106163,3
D-17,RC1111420,4
D-18,RC1116451,5
D-19,RC1124410,5
D-20,RC1130882,5
D-21,RC1135557,5
D-22,RC1143586,5
D-23,RC1150833,5
D-24,RC1155475,4
D-25,RC1161651,3
D-26,RC1166583,4
D-27,RC1171989,5
D-28,RC1177733,4
E-01,RC117577,4
E-02,RC123928,5
E-03,RC129411,1
E-04,RC134528,4
E-05,RC142145,5
E-06,RC148875,5
E-07,RC159885,1
E-08,RC167107,5
E-09,RC173375,1
E-10,RC178553,5
E-11,RC183563,4
E-12,RC188355,5
E-13,RC193231,1
E-14,RC198474,1
E-15,RC136219,4
E-16,RC1107176,1
E-17,RC1112407,3
E-18,RC1117444,4
E-19,RC1126205,1
E-20,RC1131863,2
E-21,RC1136877,3
E-22,RC1144792,3
E-23,RC1151533,1
E-24,RC1156205,4
E-25,RC1162649,4
E-26,RC1167733,4
E-27,RC1172988,4
E-28,RC1178214,4
