"id","sl","reg_no","status"
"1","A-01","RC113985","2"
"9","A-09","RC169770","2"
"11","A-11","RC179182","2"
"15","A-15","RC199473","3"
"16","A-16","RC1103764","3"
"17","A-17","RC1108692","3"
"18","A-18","RC1113678","2"
"21","A-21","RC1132683","2"
"27","A-27","RC1168722","3"
"28","A-28","RC1173757","2"
"29","A-29","RC1179982","2"
"30","B-01","RC114975","4"
"33","B-04","RC131935","3"
"34","B-05","RC139212","4"
"36","B-07","RC151691","4"
"37","B-08","RC161809","3"
"40","B-11","RC180874","3"
"43","B-14","RC195718","3"
"51","B-22","RC1138783","4"
"53","B-24","RC1153960","4"
"55","B-26","RC1164315","4"
"56","B-27","RC1169307","4"
"61","C-03","RC127322","2"
"62","C-04","RC132285","2"
"66","C-08","RC165142","3"
"67","C-09","RC171693","2"
"69","C-11","RC181111","3"
"71","C-13","RC17606","3"
"72","C-14","RC17606","2"
"74","C-16","RC1105279","2"
"75","C-17","RC1110100","2"
"76","C-18","RC1115247","3"
"80","C-22","RC1139796","2"
"81","C-23","RC162918","2"
"83","C-25","RC1159284","3"
"84","C-26","RC1165516","2"
"85","C-27","RC1170723","3"
"89","D-02","RC122654","3"
"90","D-03","RC128493","3"
"97","D-10","RC177514","3"
"98","D-11","RC182299","3"
"103","D-16","RC1106163","3"
"104","D-17","RC1111420","4"
"111","D-24","RC1155475","4"
"112","D-25","RC1161651","3"
"113","D-26","RC1166583","4"
"115","D-28","RC1177733","4"
"116","E-01","RC117577","4"
"119","E-04","RC134528","4"
"126","E-11","RC183563","4"
"130","E-15","RC136219","4"
"132","E-17","RC1112407","3"
"133","E-18","RC1117444","4"
"135","E-20","RC1131863","2"
"136","E-21","RC1136877","3"
"137","E-22","RC1144792","3"
"139","E-24","RC1156205","4"
"140","E-25","RC1162649","4"
"141","E-26","RC1167733","4"
"142","E-27","RC1172988","4"
"143","E-28","RC1178214","4"
