"id","sl","reg_no","status"
"1","A-01","RC113985","2"
"2","A-02","RC118933","5"
"3","A-03","RC125292","5"
"4","A-04","RC130207","5"
"5","A-05","RC135812","5"
"7","A-07","RC150644","5"
"8","A-08","RC160770","5"
"9","A-09","RC169770","2"
"10","A-10","RC174168","5"
"11","A-11","RC179182","2"
"14","A-14","RC194912","5"
"15","A-15","RC199473","3"
"16","A-16","RC1103764","3"
"17","A-17","RC1108692","3"
"18","A-18","RC1113678","2"
"19","A-19","RC1121478","5"
"21","A-21","RC1132683","2"
"22","A-22","RC1137240","5"
"23","A-23","RC1145998","5"
"24","A-24","RC1152983","5"
"27","A-27","RC1168722","3"
"28","A-28","RC1173757","2"
"29","A-29","RC1179982","2"
"30","B-01","RC114975","4"
"31","B-02","RC119270","5"
"32","B-03","RC126638","5"
"33","B-04","RC131935","3"
"34","B-05","RC139212","4"
"35","B-06","RC144304","5"
"36","B-07","RC151691","4"
"37","B-08","RC161809","3"
"38","B-09","RC170688","5"
"39","B-10","RC175689","5"
"40","B-11","RC180874","3"
"42","B-13","RC190795","5"
"43","B-14","RC195718","3"
"46","B-17","RC1109635","5"
"47","B-18","RC1114705","5"
"48","B-19","RC1122776","5"
"49","B-20","RC1128510","5"
"51","B-22","RC1138783","4"
"52","B-23","RC1149596","5"
"53","B-24","RC1153960","4"
"54","B-25","RC1158151","5"
"55","B-26","RC1164315","4"
"56","B-27","RC1169307","4"
"59","C-01","RC115974","5"
"60","C-02","RC120286","5"
"61","C-03","RC127322","2"
"62","C-04","RC132285","2"
"65","C-07","RC152561","5"
"66","C-08","RC165142","3"
"67","C-09","RC171693","2"
"68","C-10","RC176688","5"
"69","C-11","RC181111","3"
"71","C-13","RC17606","3"
"72","C-14","RC17606","2"
"73","C-15","RC1101117","5"
"74","C-16","RC1105279","2"
"75","C-17","RC1110100","2"
"76","C-18","RC1115247","3"
"77","C-19","RC1123387","5"
"78","C-20","RC1129938","5"
"79","C-21","RC1134516","5"
"80","C-22","RC1139796","2"
"81","C-23","RC162918","2"
"83","C-25","RC1159284","3"
"84","C-26","RC1165516","2"
"85","C-27","RC1170723","3"
"86","C-28","RC1176217","5"
"87","C-29","RC1160684","5"
"88","D-01","RC116225","5"
"89","D-02","RC122654","3"
"90","D-03","RC128493","3"
"91","D-04","RC133714","5"
"92","D-05","RC141718","5"
"94","D-07","RC154485","5"
"95","D-08","RC166110","5"
"97","D-10","RC177514","3"
"98","D-11","RC182299","3"
"99","D-12","RC187897","5"
"100","D-13","RC191701","5"
"101","D-14","RC197763","5"
"103","D-16","RC1106163","3"
"104","D-17","RC1111420","4"
"105","D-18","RC1116451","5"
"106","D-19","RC1124410","5"
"107","D-20","RC1130882","5"
"108","D-21","RC1135557","5"
"109","D-22","RC1143586","5"
"110","D-23","RC1150833","5"
"111","D-24","RC1155475","4"
"112","D-25","RC1161651","3"
"113","D-26","RC1166583","4"
"114","D-27","RC1171989","5"
"115","D-28","RC1177733","4"
"116","E-01","RC117577","4"
"117","E-02","RC123928","5"
"119","E-04","RC134528","4"
"120","E-05","RC142145","5"
"121","E-06","RC148875","5"
"123","E-08","RC167107","5"
"125","E-10","RC178553","5"
"126","E-11","RC183563","4"
"127","E-12","RC188355","5"
"130","E-15","RC136219","4"
"132","E-17","RC1112407","3"
"133","E-18","RC1117444","4"
"135","E-20","RC1131863","2"
"136","E-21","RC1136877","3"
"137","E-22","RC1144792","3"
"139","E-24","RC1156205","4"
"140","E-25","RC1162649","4"
"141","E-26","RC1167733","4"
"142","E-27","RC1172988","4"
"143","E-28","RC1178214","4"
